,url,title,description,category,location,project_id
1120,https://www.kickstarter.com/projects/decoding-disruption/only-on-kickstarter-the-decoding-disruption?ref=discovery_popular,(v1.0) DECODING DISRUPTION by Naully Nicolas,A 400-page exclusive book + a backer-only community for new and experienced digital leaders.,Nonfiction,"Geneva, Switzerland",772351921
1121,https://www.kickstarter.com/projects/badashedesign/2020-getaway-pins?ref=discovery_popular,2020 Getaway pins,"Quarantine has trapped us in our homes, so ACNH has been our virtual getaway! I want to make pins to express our shared 2020 vacation.",Illustration,"Atlanta, GA",111377725
1122,https://www.kickstarter.com/projects/gliders/gliders-cardistry-packets?ref=discovery_popular,Gliders Cardistry Packets,Handmade resin cardistry trainers with a variety of designs to choose from,Playing Cards,"Dallas, TX",1437370753
1123,https://www.kickstarter.com/projects/shooglenifty/shoogleniftys-9th-studio-album?ref=discovery_popular,Shooglenifty's 9th studio album,"Introducing Acid Croft Vol 9, our first album to feature the dynamic Eilidh Shaw on fiddle",Music,"Edinburgh, UK",1359345463
1124,https://www.kickstarter.com/projects/whelon/search-and-find-jigsaw-puzzles?ref=discovery_popular,Search-and-Find Jigsaw Puzzles,"Do the jigsaws, find the characters.",Puzzles,"San Francisco, CA",1019718862
1125,https://www.kickstarter.com/projects/jkballantyne/animalinyou?ref=discovery_popular,Animal in You: what do you see in your inkblot?,A series of paintings inspired by your interpretation of an inkblot: Tell me what you see and I'll bring your vision to life with paint,Painting,"London, UK",2011020210
1126,https://www.kickstarter.com/projects/52cats/ezine-52-katzen-52-cats?ref=discovery_popular,Ezine 52 Katzen / 52 Cats,Katzen-Persönlichkeiten stellen sich vor / Cat characters introduce themselves,Publishing,"Haselünne, Germany",105638581
1127,https://www.kickstarter.com/projects/dawsonvelma/timeless-hand-made-luxury-dawson-velma-watches-and-accessories?ref=discovery_popular,TIMELESS HAND MADE LUXURY DAWSON VELMA WATCHES & ACCESSORIES,Carbon Neutral - New Zealand designed luxury watches / Our designs are Swiss & Japanese mechanical movements - 100% HM -dawsonvelma.com,Product Design,"Auckland, NZ",505715394
1128,https://www.kickstarter.com/projects/777861661/wild-pups-pet-goods?ref=discovery_popular,Wild Pups Pet Goods,"High Quality, Trendy Pet Accessories",Product Design,"Singapore, Singapore",1895189751
1129,https://www.kickstarter.com/projects/1327314385/barbaric-splendor-kickstarter-two-personalities-2?ref=discovery_popular,Barbaric Splendor Kickstarter Two: Personalities 2,Barbaric Splendor Miniatures is expanding its line of licensed miniatures with authors and artists of heroic swords and sorcery!,Tabletop Games,"Lafayette, CA",184091742
1130,https://www.kickstarter.com/projects/abigailstarling/she-ra-large-catradora-enamel-pin?ref=discovery_popular,She-Ra Large Catradora Enamel Pin,Commemorative layered enamel pin with Adora and Catra framed by the Heart of Etheria.,Art,"Seattle, WA",321197912
1131,https://www.kickstarter.com/projects/dawsonvelma/timeless-hand-made-luxury-dawson-velma-watches-and-accessories?ref=discovery_popular,TIMELESS HAND MADE LUXURY DAWSON VELMA WATCHES & ACCESSORIES,Carbon Neutral - New Zealand designed luxury watches / Our designs are Swiss & Japanese mechanical movements - 100% HM -dawsonvelma.com,Product Design,"Auckland, NZ",505715394
1132,https://www.kickstarter.com/projects/saucestream/the-saucestream-squeezer?ref=discovery_popular,The Saucestream Squeezer,The squeezer is an eco-friendly plastic-free product that brings the squeezy convenience of plastic sauce bottles to the glass option.,Product Design,"Birmingham, UK",1870420583
1133,https://www.kickstarter.com/projects/615903974/questions-to-europe-a-children-s-book?ref=discovery_popular,Questions to Europe – A Children’s Book,An illustrated book for children from the age of 6 about Europe and the EU.,Children's Books,"Wurzburg, Germany",1328616540
1134,https://www.kickstarter.com/projects/vailimaprayers/the-windmill-needs-the-wind-stevenson-in-samoa?ref=discovery_popular,The Windmill Needs The Wind: Stevenson in Samoa,"From Robert Louis Stevenson's original prayers: 12 songs to provide meaning in dark days, and make your heart sing in good times.",Country & Folk,"Ballarat, AU",1502917136
1135,https://www.kickstarter.com/projects/zzltech/nirvana-project-8-speed-transmission-rc-car?ref=discovery_popular,Nirvana Project-8-speed transmission RC car,"An RC car with a 8-speed transmission, brakes, independent suspension, differential, all to make it mechanically closer to real cars.",3D Printing,"Montreal, Canada",281550824
1136,https://www.kickstarter.com/projects/517417439/norse-runes-tyrs-aett?ref=discovery_popular,Norse Runes: Tyr's Aett,Enamel pins based off the Old Norse runes.,Art,"Charlotte, NC",997566554
1137,https://www.kickstarter.com/projects/badconscience/queer-techno-ep-bad-conscience-insecure?ref=discovery_popular,Queer Techno EP: Bad Conscience - Insecure,Pre-orders will fund mixing and mastering and a promo campaign to reach more listeners,Music,"Berlin, Germany",747357698
1138,https://www.kickstarter.com/projects/gokurakuya/zen-dice-made-by-makers-of-buddhist-altars?ref=discovery_popular,ZEN-DICE made by makers of Buddhist Altars,ZEN-DICE are made with the same skills that carve Buddha statues,Tabletop Games,"Kakogawa-shi, Japan",21084338
1139,https://www.kickstarter.com/projects/cornelius-grace/contain-the-flame-uk-made?ref=discovery_popular,💡 Eco-FireStarters 💡,Eco-friendly handmade selection of FireStarters!,Product Design,"Weedon, UK",1836335569
1140,https://www.kickstarter.com/projects/gokurakuya/zen-dice-made-by-makers-of-buddhist-altars?ref=discovery_popular,ZEN-DICE made by makers of Buddhist Altars,ZEN-DICE are made with the same skills that carve Buddha statues,Tabletop Games,"Kakogawa-shi, Japan",21084338
1141,https://www.kickstarter.com/projects/cornelius-grace/contain-the-flame-uk-made?ref=discovery_popular,💡 Eco-FireStarters 💡,Eco-friendly handmade selection of FireStarters!,Product Design,"Weedon, UK",1836335569
1142,https://www.kickstarter.com/projects/cthulhuteapot/the-cthulhu-teapot-project?ref=discovery_popular,The Cthulhu teapot project,Beautiful handmade Chtulhu inspired tea or coffee set for everyday use. Made from high quality porcelain with love and passion.,Ceramics,"Las Vegas, NV",885161458
1143,https://www.kickstarter.com/projects/zoonchez/today-is-tomorrows-yesterday?ref=discovery_popular,Today is Tomorrow’s Yesterday,Not your usual diary. 28 arty sketchbooks in one book,Art,"Badalona, Spain",284321085
1144,https://www.kickstarter.com/projects/kartenspiel-auruxxx/kartenspiel-auruxxx-die-goldene-12?ref=discovery_popular,Kartenspiel AURUXXX Die Goldene 12,"Klassisches Kartenspiel. Spannend. Überraschend. Spielspaß für die ganze Familie. 160 Spielkarten, 1 Spielfigur ""Happy-Man"" und 1 Block",Tabletop Games,"Taunusstein, Germany",1771784260
1145,https://www.kickstarter.com/projects/challengers/keep-reading-comics-t-shirt-designed-by-gene-ha?ref=discovery_popular,"""Keep Reading Comics"" T-Shirt Designed by GENE HA",A t-shirt designed by comics superstar Gene Ha to celebrate the joy of comic books during this global pandemic.,Apparel,"Chicago, IL",959632288
1146,https://www.kickstarter.com/projects/pandoramonstera/panda-party-pins?ref=discovery_popular,Panda Party Pins,"Hard enamel pins of all the cute pandas! Giant panda, red panda, and trash panda are here for you to take them home.",Art,"Olympia, WA",880311150
1147,https://www.kickstarter.com/projects/gustave-et-cie/moon-phase-and-single-hand-watch-made-in-france?ref=discovery_popular,MOON-PHASE & SINGLE-HAND WATCH - Made in France,Do you know how the moon influences you ?,Product Design,"Paris, France",1510724455
1148,https://www.kickstarter.com/projects/lighthouse-issue-1/lighthouse-issue-1?ref=discovery_popular,Lighthouse Issue #1,Adapting an exciting Danish fantasy novel into a manga!,Graphic Novels,"Copenhagen, Denmark",1221201797
1149,https://www.kickstarter.com/projects/623970416/escape-game-la-legende-de-rohir?ref=discovery_popular,Escape game - La Légende de Rohir,Une salle d'escape game avec comédiens pour adultes et enfants!,Games,"Nantes, France",1126828529
1150,https://www.kickstarter.com/projects/twobroadscider/tasting-room-and-patio-at-two-broads-ciderworks?ref=discovery_popular,CIDER+PLACE: Tasting Room and Patio at Two Broads Ciderworks,"Social distancing is not forever, and when it's safe, Two Broads will have a place for the mixing of community, art, and culture.",Drinks,"San Luis Obispo, CA",533537066
1151,https://www.kickstarter.com/projects/inseazndesign/bells-and-pop-culture-an-animal-crossing-enamel-pin-series?ref=discovery_popular,Bells & Pop Culture - An Animal Crossing Enamel Pin Series,"An Animal Crossing inspired enamel pin set featuring a fusion of bells, pop culture, and Tom Nook.",Art,"San Francisco, CA",1198577436
1152,https://www.kickstarter.com/projects/darlingaslan/dino-fun-time-t-shirts-by-darling-aslan?ref=discovery_popular,Dino Fun Time t-shirts by Darling Aslan,Kawaii pastel dino tees!,Apparel,"Brighton, UK",846558620
1153,https://www.kickstarter.com/projects/abduction/abduction-0?ref=discovery_popular,ABDUCTION,A late 80's alien abduction short film,Shorts,"North Bay, Canada",1307306933
1154,https://www.kickstarter.com/projects/eyeah/eyeah-the-contact-case-with-a-solution?ref=discovery_popular,EYEAH: The Contact Case with a Solution,"Empowering you with an effortless eye care routine – Just fill, squeeze, and replenish the L and R caps with contact lens solution!",Product Design,"Little Rock, AR",1652225435
1155,https://www.kickstarter.com/projects/hempfacemasks/patent-pending-multilayered-hemp-face-mask-washable-reusable?ref=discovery_popular,Patent Pending Multilayered Hemp Face Mask Washable/Reusable,Patent Pending Multilayered Hemp Face Mask for Humans and Animals. When wet provides extra protection. Hemp Face Masks for all Seasons,Ready-to-wear,"Eugene, OR",1792137610
1156,https://www.kickstarter.com/projects/creativestudioinc/tamboo-towels?ref=discovery_popular,Tamboo Towels,A Multi-Purpose Towel Made From Bamboo,Product Design,"Toronto, Canada",1084017950
1157,https://www.kickstarter.com/projects/1lockeddowngardener/the-locked-down-gardener?ref=discovery_popular,The Locked Down Gardener,A memento and record of a pictorial pandemic gardening journal. A journey of building a garden from a blank canvas in a time of crisis.,Anthologies,"Roscrea, Ireland",1415433873
1158,https://www.kickstarter.com/projects/coffeehouse29/re-opening-coffee-house-29?ref=discovery_popular,Re-Opening Coffee House 29,Help Us Keep Coffee House 29 Alive,Drinks,"Windsor, CO",2065916926
1159,https://www.kickstarter.com/projects/stephaniejwomack/synkbib-the-stylish-sink-cover?ref=discovery_popular,SYNKBIB - The Stylish Sink Cover,"Your hair is your crowning glory, but it doesn't have to be all over your sink!",Product Design,"Chicago, IL",1904952453
1160,https://www.kickstarter.com/projects/cybergirlleeta6/cyber-girl-leeta-new-adventure-issue-6?ref=discovery_popular,Cyber Girl Leeta new adventure issue 6,"Cyber Girl Leeta new adventure, issue 6",Comics,"New Brunswick, NJ",41497009
1161,https://www.kickstarter.com/projects/lucadellolio/sostieni-anche-tu-quasaridioma?ref=discovery_popular,Sostieni anche tu Quasaridioma! Support Quasaridioma vinyl,Stampa di una tiratura limitata di 500 copie del mio album in vinile// Printing 500 vinyl copies of my latest album,Indie Rock,"Torino, Italy",1855124373
1162,https://www.kickstarter.com/projects/miguelmolinaart/minimalist-hero-and-villain-portraits?ref=discovery_popular,Minimalist Hero and Villain Portraits,Limited edition silkscreen portraits of some of your favourite super heroes and super villains.,Comics,"Vancouver, Canada",930473787
1163,https://www.kickstarter.com/projects/experiencenature/experience-nature-and-good-food?ref=discovery_popular,Experience Nature and Good Food,"An outdoor cookbook for food lovers and adventure seekers. For every book, we'll plant one tree with a reforestation project.🌲",Cookbooks,"Meran, Italy",1647851823
1164,https://www.kickstarter.com/projects/oldroydgames/confabulation?ref=discovery_popular,Confabulation,"A new word game combining elements of word-search, word-assembly, and category-based word games.",Tabletop Games,"Provo, UT",866646307
1165,https://www.kickstarter.com/projects/amoon/high-schoolers-for-front-liners?ref=discovery_popular,High Schoolers for Front Liners,High school students making homemade masks to help out frontline responders during the coronavirus outbreak.,Crafts,"Potomac, MD",2040205073
1166,https://www.kickstarter.com/projects/pickletoez/succulent-skull-patches?ref=discovery_popular,Succulent Skull Patches,Embroidered patches containing two of your favorite things: Skulls & Succulents.,Art,"Edmonton, Canada",1184180275
1167,https://www.kickstarter.com/projects/resinlab/heresylab-miniature-printable-files-stl-format?ref=discovery_popular,HeresyLab - Miniature Printable files - STL format,HeresyLab - Miniature Printable files in STL format only digital.,Tabletop Games,"Vicenza, Italy",790897103
1168,https://www.kickstarter.com/projects/thelearningforge/creatures-of-folklore-and-legends?ref=discovery_popular,Creatures of Folklore and Legends,Monthly Mail Subscription Box for Cryptid Fans,Art,"Orlando, FL",1419904058
1169,https://www.kickstarter.com/projects/sophiepf/silent-ocean?ref=discovery_popular,Silent Ocean,"A mermaid saves someone from drowning, only to let curiosity get the better of her.",Graphic Novels,"Dresden, Germany",106237464
1170,https://www.kickstarter.com/projects/solarminds/her-spirit-cracked-the-sky-vinyl-album-by-solarminds?ref=discovery_popular,"Her Spirit Cracked the Sky, vinyl album by solarminds","I'm raising $4,200 (or more) by my 42nd birthday for mastering, and producing vinyl copies, of the 42 min album. Pledges @ $42 & $420",Music,"Berkeley, CA",1922589551
